,Brands,type_,year,car_age,km,fuel,Prices,owner,downpayments
333,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
334,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
335,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
336,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
337,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
338,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
339,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
340,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
341,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
342,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
343,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
344,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
345,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
346,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
347,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
348,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
349,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
350,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
351,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
352,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
353,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
354,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
355,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
356,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
357,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
358,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
359,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
360,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
361,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
362,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
363,Maruti,Baleno,2016,6,36021.0,Petrol,478899,1st,9363
364,Maruti,Swift,2018,4,28502.0,Petrol,552999,1st,10811
365,Maruti,Alto,2014,8,20114.0,Petrol,266999,1st,5220
366,Hyundai,i10,2013,9,52004.0,Petrol,272499,2nd,5327
367,Hyundai,Verna,2011,11,58939.0,Petrol,371599,2nd,7265
368,Toyota,Etios,2012,10,45094.0,Petrol,253899,2nd,4964
369,Maruti,Celerio,2017,5,33567.0,Petrol,375899,1st,7349
370,Hyundai,Elite,2015,7,6880.0,Petrol,577799,1st,11296
371,Maruti,Wagon,2016,6,39225.0,Petrol,305399,2nd,5971
372,Maruti,Alto,2015,7,24432.0,Petrol,254399,1st,4974
373,Renault,Kwid,2020,2,36551.0,Petrol,421199,1st,8235
374,Maruti,Baleno,2016,6,29068.0,Petrol,511799,1st,10006
375,Maruti,Alto,2015,7,43764.0,Petrol,241321,1st,4718
376,KIA,SELTOS,2019,3,7946.0,Petrol,1022999,1st,20000
377,Maruti,Dzire,2018,4,8242.0,Diesel,705899,2nd,13800
378,Maruti,Celerio,2018,4,17885.0,Petrol,426799,1st,8344
379,Honda,Brio,2013,9,42217.0,Petrol,286899,2nd,5609
380,MG,HECTOR,2020,2,6707.0,Petrol,1570899,1st,30711
381,Hyundai,Santro,2013,9,27748.0,Petrol,206799,1st,4043
382,KIA,SELTOS,2019,3,15503.0,Petrol,1508899,1st,29499
